name,price,capacity,price_per_gb,type,cache,form_factor,interface
Western Digital WD_Black SN850X,91.69,1000.0,0.092,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,51.99,1000.0,0.052,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,64.99,1000.0,0.065,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO Plus,249.99,4000.0,0.062,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X2
Klevv CRAS C910,103.99,2000.0,0.052,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro,479.99,24000.0,0.02,HDD,512.0,3.5,SATA 6.0 Gb/s
TEAMGROUP MP44L,57.99,1000.0,0.058,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Intel SSDPEDMD020T401,3937.0,2000.0,1.968,SSD,128.0,PCIe,PCIe x4
SK Hynix Platinum P41,114.99,2000.0,0.057,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,74.99,4000.0,0.019,HDD,256.0,3.5,SATA 6.0 Gb/s
Samsung 980 Pro,184.95,2000.0,0.092,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,134.0,1000.0,0.134,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Patriot P300,33.99,512.0,0.066,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,42.99,1000.0,0.043,HDD,64.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,265.0,4000.0,0.066,SSD,4096.0,2.5,SATA 6.0 Gb/s
Crucial T500,124.99,2000.0,0.062,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,54.99,1000.0,0.055,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,114.99,2000.0,0.057,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,140.0,1000.0,0.14,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P310,64.99,1000.0,0.065,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,65.77,1000.0,0.066,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Source HC,3033.0,16000.0,0.19,SSD,128.0,2.5,SATA 6.0 Gb/s
Sabrent Rocket 4 Plus,1058.89,8000.0,0.132,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44L,105.99,2000.0,0.053,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,130.0,8000.0,0.016,HDD,256.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,168.74,2000.0,0.084,SSD,2048.0,2.5,SATA 6.0 Gb/s
Samsung 9100 PRO,154.99,1000.0,0.155,SSD,1024.0,M.2-2280,M.2 PCIe 5.0 X4
Lexar NM790,124.99,2000.0,0.062,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705,199.99,2000.0,0.1,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD Blue SN5000,59.79,1000.0,0.06,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK SN7100,129.99,2000.0,0.065,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV3,38.99,500.0,0.078,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,54.99,500.0,0.11,SSD,512.0,2.5,SATA 6.0 Gb/s
Kingston KC3000,161.9,2048.0,0.079,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M461,89.99,2000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,79.99,500.0,0.16,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
PNY CS1030,49.99,1000.0,0.05,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P310,112.49,2000.0,0.056,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,629.99,8000.0,0.079,SSD,128.0,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN7100,73.0,1000.0,0.073,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,69.38,1000.0,0.069,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Patriot Burst Elite,12.49,120.0,0.104,SSD,128.0,2.5,SATA 6.0 Gb/s
Acer Predator GM7000,124.99,2000.0,0.062,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,64.98,2000.0,0.032,HDD,256.0,3.5,SATA 6.0 Gb/s
Kingston Fury Renegade,154.0,2000.0,0.077,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,54.59,1000.0,0.055,HDD,64.0,3.5,SATA 6.0 Gb/s
Crucial BX500,66.98,1000.0,0.067,SSD,128.0,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN8100,464.99,4000.0,0.116,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD Green SN3000,67.99,1000.0,0.068,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE G50,57.99,1000.0,0.058,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,189.95,2000.0,0.095,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 990 Pro w/Heatsink,159.99,2000.0,0.08,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790,67.99,1000.0,0.068,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO,129.99,2000.0,0.065,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X2
Western Digital WD_BLACK SN8100,224.99,2000.0,0.112,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4
Samsung 980,106.9,1000.0,0.107,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial T705,389.99,4000.0,0.097,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
Crucial T500,75.19,1000.0,0.075,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Patriot P300,23.49,256.0,0.092,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Patriot Viper VP4300 Lite,103.98,2000.0,0.052,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston A400,24.99,240.0,0.104,SSD,128.0,2.5,SATA 6.0 Gb/s
TEAMGROUP MP33,34.99,512.0,0.068,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-FORCE G50,104.99,2000.0,0.052,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 EVO,74.98,1000.0,0.075,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X2
Silicon Power A60,54.97,1000.0,0.055,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M480 PRO,119.99,2000.0,0.06,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,315.05,4000.0,0.079,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO w/Heatsink,449.99,4000.0,0.112,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Crucial P510,99.99,1000.0,0.1,SSD,128.0,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP MP44L,34.99,500.0,0.07,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green SN350,55.56,1000.0,0.056,SSD,128.0,M.2-2280,M.2 PCIe 3.0 X4
Klevv CRAS C910,199.99,4000.0,0.05,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
KingSpec XF,126.97,1000.0,0.087,SSD,128.0,M.2-2280,M.2 PCIe 4.0 X4
